"Aktiv";"Name der Location";"URL"
"1";"Cassiopeia Club";"https://www.google.de/maps/place/cassiopeia+Club/@52.5072762,13.4534863,17z/data=!3m1!4b1!4m6!3m5!1s0x47a84e59a70cd9b1:0x92d8e4261ef4fb9d!8m2!3d52.5072762!4d13.4547738!16s%2Fm%2F0k2xxd5!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"Bei Schlawinchen";"https://www.google.de/maps/place/Bei+Schlawinchen+-+Berlin/@52.4926832,13.4191412,17z/data=!3m1!4b1!4m6!3m5!1s0x47a84fca23a64cb9:0x1b3a19f74b8cf9f!8m2!3d52.4926832!4d13.4217161!16s%2Fg%2F1tdg6t_5!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"0";"Cassiopeia Sommergarten";"https://www.google.de/maps/place/Cassiopeia+Sommergarten/@52.5068744,13.4518083,17z/data=!3m1!4b1!4m6!3m5!1s0x47a84f82d34be42d:0x74462940e06ea1c7!8m2!3d52.5068744!4d13.4543832!16s%2Fg%2F11t1qvdsr8!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"Hafenbar";"https://www.google.de/maps/place/Hafenbar+Berlin/@52.5217861,13.4050226,17z/data=!3m2!4b1!5s0x47a851e00220036f:0x303e3da3b7ff5699!4m6!3m5!1s0x47a851ec8d9edfb9:0x6d09589ff4849d6c!8m2!3d52.5217861!4d13.4075975!16s%2Fg%2F187ccznz!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"0";"Eingang Zwei Bar";"https://www.google.de/maps/place/Eingang+Zwei+Bar/@52.4911403,13.3850208,17z/data=!3m2!4b1!5s0x47a8502884a9b8ad:0x6cd8420782c2f9e8!4m6!3m5!1s0x47a8515c3b269a43:0x1a7128c0a0047c93!8m2!3d52.4911371!4d13.3876011!16s%2Fg%2F11lcrzy299!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"BRLO Brwhouse";"https://www.google.de/maps/place/BRLO+Brwhouse/@52.5001998,13.3711197,16z/data=!3m1!4b1!4m6!3m5!1s0x47a850337b895a53:0xdeb4db7d40bea40b!8m2!3d52.5001966!4d13.3737!16s%2Fg%2F11bz09d43x!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"Nathanja & Heinrich";"https://www.google.de/maps/place/Nathanja+%26+Heinrich+Caf%C3%A9+%2F+Bar+Neuk%C3%B6lln/@52.4873862,13.4341813,16z/data=!3m1!4b1!4m6!3m5!1s0x47a84fafd63ff097:0x9950f3ffa9600942!8m2!3d52.487383!4d13.4367616!16s%2Fg%2F1pp2tw781!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"Fuchsbau";"https://www.google.de/maps/place/Fuchsbau/@52.4956404,13.4168336,16z/data=!3m1!4b1!4m6!3m5!1s0x47a84fcb7f112445:0xc92fdd16b2ac97c3!8m2!3d52.4956372!4d13.4194139!16s%2Fg%2F1tj7z_nw!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"Monarch Bar";"https://www.google.de/maps/place/Monarch+Bar/@52.4992953,13.4168896,16z/data=!3m2!4b1!5s0x47a84e34a6d6e519:0x562d481c42b19aaf!4m6!3m5!1s0x47a84e349ccf20e9:0x136f98de05866291!8m2!3d52.4992921!4d13.4194699!16s%2Fg%2F1tg_knw7!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"0";"Renate";"https://www.google.de/maps/place/Renate/@52.4974696,13.4624962,17z/data=!3m1!4b1!4m6!3m5!1s0x47a84e1e549f0fc7:0xbbaa9f30a90066b5!8m2!3d52.4974696!4d13.4650711!16s%2Fg%2F11bwdrqvmj!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
